,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
136,4.156363105520701e-17,8.269040952072424e-18,20.132740339548715,0.216005813129341,2459042.8753935,g,True,88,48.24539350019768,g
137,4.221190128545136e-17,9.084031218570396e-18,20.115937111358644,0.2336508117620997,2459043.8753935,g,True,88,49.24539350019768,g
138,4.2914734805196077e-17,9.381090430301531e-18,20.098008029773894,0.23734016606662692,2459044.8753935,g,True,88,50.24539350019768,g
139,4.2944044602095355e-17,9.123373699278022e-18,20.097266704421898,0.2306621881316469,2459045.8753935,g,True,88,51.24539350019768,g
140,4.2284328829310045e-17,7.687736191334552e-18,20.114075815627242,0.19739628297117134,2459046.8753935,g,True,88,52.24539350019768,g
141,4.134729767433593e-17,4.6932108387535274e-18,20.138406719903355,0.12323481802467857,2459047.8753935,g,True,88,53.24539350019768,g
142,4.0312728577547775e-17,1.3686715930815117e-18,20.165919356581625,0.036859776685471066,2459048.8753935,g,True,88,54.24539350019768,g
143,3.890679926994923e-17,3.2997816913859623e-18,20.20446193107972,0.0920896426636221,2459049.8753935,g,True,88,55.24539350019768,g
144,3.7315488512294534e-17,4.938321697042257e-18,20.249802707812094,0.14368819113701345,2459050.8753935,g,True,88,56.24539350019768,g
145,3.613181653161865e-17,5.130896307805281e-18,20.284800247569947,0.15417972460483612,2459051.8753935,g,True,88,57.24539350019768,g
146,3.523091291689392e-17,4.6352077704826604e-18,20.31221485858097,0.14284583458676733,2459052.8753935,g,True,88,58.24539350019768,g
147,3.449685186379341e-17,4.258825124981456e-18,20.335075580594264,0.134040102293602,2459053.8753935,g,True,88,59.24539350019768,g
148,3.431678937503684e-17,4.58415810190378e-18,20.340757392492375,0.1450363782382036,2459054.8753935,g,True,88,60.24539350019768,g
149,3.470957293306891e-17,4.849445852664046e-18,20.328401106018163,0.15169361903856807,2459055.8753935,g,True,88,61.24539350019768,g
150,3.542356136619624e-17,4.971149725297246e-18,20.30629397637687,0.15236566985494232,2459056.8753935,g,True,88,62.24539350019768,g
151,3.6240567789039814e-17,7.116054623033625e-18,20.281536937935222,0.21318678908871858,2459057.8753935,g,True,88,63.24539350019768,g
152,3.671645655832851e-17,1.2259467318730187e-17,20.26737211964518,0.3625210620508737,2459058.8753935,g,True,88,64.24539350019768,g
153,3.6487867127325097e-17,1.8674096724322195e-17,20.274153085176653,0.5556742642317286,2459059.8753935,g,True,88,65.24539350019768,g
154,3.5471907725738996e-17,2.4571022255669204e-17,20.304814122221842,0.7520916478539776,2459060.8753935,g,True,88,66.24539350019768,g
155,3.379441747060437e-17,2.8711806249838823e-17,20.357414832239016,0.9224594885798469,2459061.8753935,g,True,88,67.24539350019768,g
156,3.171104189761293e-17,3.0370993333280135e-17,20.426502471703035,1.039865729635083,2459062.8753935,g,True,88,68.24539350019768,g
157,2.95400843091028e-17,2.9290352520232454e-17,20.503499802398487,1.0765560929883005,2459063.8753935,g,True,88,69.24539350019768,g
158,2.760539065069832e-17,2.5648610322250455e-17,20.577043211670865,1.0087607600974295,2459064.8753935,g,True,88,70.24539350019768,g
159,2.618295108756651e-17,2.005964442801957e-17,20.634479328779726,0.8318017277563727,2459065.8753935,g,True,88,71.24539350019768,g
160,2.5459901132802603e-17,1.3612814993274395e-17,20.664882422853005,0.5805108097042962,2459066.8753935,g,True,88,72.24539350019768,g
161,2.5471429635570343e-17,7.920502287357073e-18,20.664390853069015,0.3376213019424249,2459067.8753935,g,True,88,73.24539350019768,g
162,2.5986570070642065e-17,4.8808920836256755e-18,20.642652154740038,0.20392970457021253,2459068.8753935,g,True,88,74.24539350019768,g
163,2.659124247983522e-17,4.719598181968831e-18,20.61767794163701,0.192703283040418,2459069.8753935,g,True,88,75.24539350019768,g
164,2.7304137709878948e-17,5.408234433385151e-18,20.588953876199184,0.21505456984802546,2459070.8753935,g,True,88,76.24539350019768,g
165,2.835245892864946e-17,5.9770998671207034e-18,20.54804871653486,0.22888839076584577,2459071.8753935,g,True,88,77.24539350019768,g
166,2.926258735479366e-17,5.849138972564939e-18,20.513742678267867,0.21702279041703337,2459072.8753935,g,True,88,78.24539350019768,g
167,2.9578565563031695e-17,5.23978564210921e-18,20.502081234559036,0.1923361746571436,2459073.8753935,g,True,88,79.24539350019768,g
168,2.949607552546124e-17,4.90508416093855e-18,20.50511346069658,0.18055379860439422,2459074.8753935,g,True,88,80.24539350019768,g
169,2.9114642108284094e-17,5.343448741750354e-18,20.51924571875079,0.19926757638676978,2459075.8753935,g,True,88,81.24539350019768,g
170,2.834645580217489e-17,5.77821832584986e-18,20.548278273281685,0.22132012022987776,2459076.8753935,g,True,88,82.24539350019768,g
171,2.7193937832957108e-17,5.506855218247182e-18,20.593345873455153,0.2198642196292497,2459077.8753935,g,True,88,83.24539350019768,g
172,2.6058213534864088e-17,5.211722677889812e-18,20.639663649071228,0.21715081766819722,2459078.8753935,g,True,88,84.24539350019768,g
173,2.5565168618501558e-17,5.2711697682851516e-18,20.66040235775384,0.22386321570547588,2459079.8753935,g,True,88,85.24539350019768,g
174,2.584208110182633e-17,5.422217440736987e-18,20.648705688389594,0.22781034569105393,2459080.8753935,g,True,88,86.24539350019768,g
175,2.6346881182506155e-17,5.973310781275139e-18,20.627701152623594,0.24615497357164412,2459081.8753935,g,True,88,87.24539350019768,g
176,2.6268159503657896e-17,7.194165515254557e-18,20.63095034232641,0.2973570822853957,2459082.8753935,g,True,88,88.24539350019768,g
177,2.512200851817053e-17,7.760656668968667e-18,20.6793923950019,0.3354060580085326,2459083.8753935,g,True,88,89.24539350019768,g
178,8.09130503799133e-17,5.861194940178059e-18,19.152798892624904,0.07873126388926119,2458995.8753935,V,True,88,1.2453935001976788,V
179,1.4065540235532362e-16,4.635222304183696e-18,18.55230686065235,0.035802615735932075,2458996.8753935,V,True,88,2.245393500197679,V
